	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000061508	89.43924781	-1.159443453	0.466220404	-2.486899849	0.012886167	0.042415401
ENSDARG00000097207	12.01760809	-2.896404255	1.166617926	-2.482735942	0.013037769	0.042826272
ENSDARG00000052423	135.229424	-1.367147777	0.406809795	-3.360655998	0.000777576	0.004037883
ENSDARG00000052351	218.2242047	-1.091106334	0.31821883	-3.428792486	0.000606273	0.003257614
ENSDARG00000077004	58.6363692	-1.316594363	0.53223039	-2.473730153	0.013371065	0.043788254
ENSDARG00000103207	106.0209449	-1.706456289	0.410798891	-4.153994391	3.27E-05	0.000250931
ENSDARG00000105098	1145.804689	-0.553080657	0.213897108	-2.585732285	0.009717237	0.033870327
ENSDARG00000098348	105.0053707	-1.475298225	0.41238064	-3.577515724	0.000346875	0.002001076
ENSDARG00000103840	22.33514625	-2.25146761	0.865073682	-2.602631034	0.009251146	0.032478002
ENSDARG00000052129	83.26969345	-1.501715643	0.440547666	-3.408747244	0.000652619	0.003484206
ENSDARG00000056862	150.5460521	-1.245402843	0.375324044	-3.318206932	0.000905973	0.004617193
ENSDARG00000070864	60.87384453	-2.275371589	0.541461454	-4.202278064	2.64E-05	0.000209224
ENSDARG00000056026	174.7413582	-1.58352008	0.348867678	-4.539027769	5.65E-06	5.34E-05
ENSDARG00000044357	628.0737251	-1.180746081	0.240194567	-4.915790136	8.84E-07	1.01E-05
ENSDARG00000017886	101.4347311	-1.417887354	0.418855183	-3.385149357	0.000711395	0.003741795
ENSDARG00000056259	245.3505139	-1.084526046	0.301392612	-3.598382982	0.000320202	0.001868542
ENSDARG00000044404	111.2866	-1.249108543	0.39192425	-3.187117266	0.001436985	0.00685199
ENSDARG00000044400	7.851946311	-4.975158381	1.895157313	-2.625195463	0.008659924	0.030762524
ENSDARG00000006546	696.0845846	-0.614853103	0.248071974	-2.478527066	0.01319261	0.043268244
ENSDARG00000013561	294.8586801	-0.987960075	0.278602615	-3.546126357	0.000390939	0.002208551
ENSDARG00000090751	88.54221988	-1.407235141	0.490329195	-2.869980323	0.004104973	0.016551839
ENSDARG00000034409	1159.186486	-0.810515227	0.215351868	-3.763678647	0.000167432	0.001051733
ENSDARG00000076351	33.33022208	-2.286764772	0.682626494	-3.349950217	0.000808261	0.004179135
ENSDARG00000091734	247.7330353	-1.522452744	0.316126672	-4.815957898	1.46E-06	1.58E-05
